source,text,label
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT.PDF,"This Agreement and the performance of <omitted>   the parties under this Agreement shall be governed by and construed in      accordance with the laws of the State of California, U.S.A., except that      body of law concerning conflicts of laws. (Page 8)",Governing Law
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.PDF,This Agreement shall be governed by and construed in accordance with the laws of the State of California without regard to its conflict of laws provisions. (Page 13),Governing Law
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.PDF,"This Agreement and all acts and  transactions  hereunder shall in all respects be governed by and construed in  accordance  with the laws of the Commonwealth of Virginia,  without regard to any of its conflicts of laws principles  which would result in the  application  of the  substantive  laws of


another jurisdiction. (Pages 7-8)",Governing Law
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF",This Agreement is to be governed and construed according to the laws of the State of New York without regard to conflicts of law. (Page 3),Governing Law
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.PDF,"This Agreement shall be construed and enforced in accordance with the laws of the State of Delaware, but without giving effect to its laws or rules relating to conflicts of laws. (Page 7)",Governing Law
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.PDF,"This Agreement will be governed by and construed in             accordance with the laws of the State of New York, notwithstanding             the actual state or country of residence or incorporation of Excite             or Client. (Page 9)",Governing Law
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.PDF,"Agreement shall be governed by, and construed in accordance with the laws of the State of New York without regard to the conflicts of laws principles thereof. (Page 4)",Governing Law
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.PDF,This Agreement shall be constructed under and  governed by the laws of the State of Tennessee. (Page 4),Governing Law
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.PDF,This Agreement shall be deemed to have been made in the     --------------     state of Washington and shall be construed in accordance with the laws of     the state of Washington. (Page 4),Governing Law
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.PDF,This Agreement shall be governed by and construed in accordance with the laws of the State of Florida. (Page 4),Governing Law
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,This Agreement will be governed by and                   construed in accordance with the laws of the State of New York (Page 9),Governing Law
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,"This Agreement will be governed by                           and construed in accordance with the laws of the                           State of California, notwithstanding the actual state                           or country of residence or incorporation of Excite or                           Client. (Page 12)",Governing Law
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.PDF,"This Agreement shall be governed by and construed in accordance with the laws of the State of  Minnesota, without regard to conflict of law principles. (Page 23)",Governing Law
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,This Agreement and performance hereunder shall be governed by the laws of the State of Oklahoma without regard to conflict of laws. (Page 13),Governing Law
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.PDF,"This Agreement shall be deemed to have been entered into in the State of New Jersey, and shall be construed and interpreted in accordance with the laws of that State applicable to agreements made and to be performed in the State of New Jersey. (Page 12)",Governing Law
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,This agreement will be construed in accordance with the laws of Papua New Guinea and the parties submit to the non-exclusive jurisdiction of the National Court of Papua New Guinea. (Page 37),Governing Law
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.PDF,"This Agreement shall be governed by and           construed in accordance with the laws of the state of Israel, without           giving effect to choice of law rules. (Page 25)",Governing Law
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,"This Agreement shall be governed by and construed in accordance with the laws, other than choice of law rules, of the state of Florida. (Page 3)",Governing Law
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,"The validity, construction and interpretation of this Agreement and the rights and duties of the parties hereto shall be governed by the internal laws of the State of Wisconsin, excluding its principles of conflict of laws. (Page 19)",Governing Law
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.PDF,"The validity, construction and interpretation of this Agreement and the rights and duties of the parties hereto shall be governed by the internal laws of the State of New York, excluding its principles of conflict of laws. (Page 16)",Governing Law
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.PDF,Any lawsuit relating to any matter arising under this Agreement may be initiated in a State or Federal Court located in the Commonwealth of Massachusetts or in any court in the Netherlands having jurisdiction over the matter. (Page 2),Governing Law
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.PDF,"This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada, USA in force therein without regard to its conflict of law rules. (Page 3)",Governing Law
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,"This Agreement and the performance of transactions under this Agreement       shall be governed by the substantive laws of the state of New York. (Page 13)

This Agreement and the rights and obligations of the parties hereto shall       be construed in accordance with the substantive laws of the State of New       York. (Page 74)",Governing Law
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.PDF,"This Agreement shall be governed and construed in accordance with the laws of Maryland, without regard to its choice of law rules. (Page 10)",Governing Law
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT.PDF","This Agreement, and all matters arising out of or relating to this Agreement, shall be governed by the laws of the State of California. (Page 6)",Governing Law
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,"This Agreement shall be governed by and construed in accordance with the laws of the Province of British Columbia and the federal laws of Canada applicable therein, excluding its conflict-of-laws rules. (Page 2)",Governing Law
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT.PDF,"This Agreement shall be deemed to have been made and executed                   in the State of Missouri and any dispute arising thereunder                   shall be resolved in accordance with the laws of the State of                   Missouri, without reference to its rules governing conflicts                   of law. (Page 12)

This Agreement shall be subject to and governed by the laws of the          State of Missouri, USA. (Page 16)",Governing Law
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.PDF,This Agreement shall be governed by and construed in accordance with the laws of the State of Colorado excluding its choice of law provisions. (Page 4),Governing Law
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.PDF","The laws of the State of Florida shall govern this      Agreement, without reference to conflicts of law provisions. (Page 3)",Governing Law
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.pdf,"Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Amendment in all respects, and any claim or cause of action based upon or arising out of this Amendment, or any dealing between the Parties relating to the subject matter of this Amendment or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Amendment). (Page 7)",Governing Law
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf,"Pursuant to and in accordance with Section 5-1401 of the New York General Obligations Law, the Parties hereto agree that this Agreement in all respects, and any claim or cause of action based upon or arising out of this Agreement, or any dealing between the Parties <omitted> relating to the subject matter of this Agreement or the transactions contemplated hereby or the Company/Repairer relationship being established, shall be governed by, and construed in accordance with, the laws of the State of New York, U.S.A. as applied to contracts to be performed wholly within the State of New York (Exclusive of Section 7-101 of the New York General Obligations Law which is inapplicable to this Agreement). (Pages 37-38)",Governing Law
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf,"This Agreement shall be governed by the internal laws, and not by the laws regarding conflicts of laws, of the State of North Carolina. (Page 29)",Governing Law
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf,This Agreement shall be governed by and construed in accordance with the laws of the Province of Ontario and the federal laws of Canada applicable in the Province of Ontario. (Page 25),Governing Law
MusclepharmCorp_20170208_10-KA_EX-10.38_9893581_EX-10.38_Co-Branding Agreement.pdf,"MusclePharm shall, throughout the Term of the Agreement and for a period of not less than four years thereafter, obtain and maintain at its own cost and expense from a qualified insurance company licensed to do business in California and New York, a commercial general liability insurance policy including coverage for contractual liability (applying to the terms and conditions of this agreement), product liability, personal injury liability, and advertiser's liability, in a form approved by the AS Parties, in the amount of at least Five Million Dollars (US$5,000,000) per occurrence naming the AS Parties (for the avoidance of doubt, specifically including each of Lender, Endorser, and Fitness) as additional named insureds (Page 25)

Without limiting the generality of the foregoing, such policy shall provide protection against any and all claims, demands, and causes of action arising out of any defects or failure to perform, alleged or otherwise, of the Products and Licensed Products or any material used in connection therewith or any use thereof. (Page 25)

The policy shall provide for ten (10) days notice to the AS Parties from the insurer by Registered or Certified Mail, return receipt requested, in the event of any modification, cancellation, or termination thereof. (Page 25)

MusclePharm agrees to furnish the AS Parties a certificate of insurance evidencing same within thirty (30) days after execution of this Agreement and, in no event, shall MusclePharm manufacture, distribute, advertise, or sell the Licensed Products prior to receipt by the AS Parties of such evidence of insurance. (Page 25)

MusclePharm shall be responsible to provide for any appearances pursuant to this Agreement by Endorser appropriate certificates of insurance with coverage limits of at least Five Million Dollars (US$5,000,000) per occurrence endorsed to name the AS Parties as additional named insureds with respect to claims arising out of appearances by Endorser. (Page 25)

MusclePharm shall be responsible to pay the deductible under any such insurance policies with respect to any claims made under such policies. (Page 25)",Insurance
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement.pdf,"At all times from the first commercial sale of any Product(s) or after the Effective Date through the date which is five (5) years after the final sale of such Product(s), the Parties will maintain general liability insurance in amounts that are reasonable and customary in the pharmaceutical industry, provided in no event shall the general liability insurance amounts be less than five million dollars ($5,000,000) per occurrence and ten million dollars ($10,000,000) in the aggregate limit of liability per year. (Page 11)

The Parties shall provide written proof of such insurance to each other upon request. (Page 11)",Insurance
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement.pdf,"The Supplier shall add the distributor to their current insurance certificate. (Page 9)

During the Term, the Supplier shall maintain product liability insurance with a reputable insurer of no less than AU$10 million for any one occurrence for any and all liability (however arising) for a claim that the Products are faulty or defective. (Page 9)",Insurance
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,"During the Term, Franchisee shall maintain policies of insurance as may be requested by Franchisor, subject to applicable law, in relation to the Smaaash Centres. (Page 6)",Insurance
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,Customer is responsible for obtaining and maintaining personal property insurance sufficient to cover the value of Customer Components; (Page 12),Insurance
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,"ArTara, Affiliates, and sublicensees will obtain and maintain commercial general liability insurance with a reputable and financially secure insurance carrier prior to clinical testing, making, using, importing, offering to sell, or selling any licensed Product or engaging in any other act involving any licensed Product or the patent rights, if such act could possibly create risk of a claim against University Indemnitees for personal injury or property damage. (Page 11)

The insurance will identify University Indemnitees as additional insureds and will provide that the carrier will notify University in writing at least […***…] prior to cancellation, non-renewal, or material change in coverage. Should ArTara fail to obtain replacement insurance providing comparable coverage within such […***…] period, University will have the right to termination this Agreement effective as of the end of the […***…] period without notice or any additional cure period. (Page 11)

The insurance will include coverage for product liability with a minimum of […***…] dollars ($[…***…]) per occurrence and [… ***…] dollars ($[…***…]) annual aggregate, coverage for contractual liability, clinical trials liability if any such trial is performed, bodily injury and property damage, including completed operations, personal injury, coverage for contractual employees, blanket contractual and products, and all other coverages standard for such policies. (Page 11)

Such insurance will additionally include errors and omissions insurance with a minimum of […***…] dollars ($[…***…]) per occurrence. (Page 11)

Insurance policies purchased to comply with this Article Seven will be kept in force for at least […***…] after the last sale of licensed Product. (Page 11)

At University’s request, such request to be made no more than annually, ArTara will provide University with a certificate of insurance and notices of subsequent renewals for its insurance and that of Affiliates extended rights under this Agreement and of sublicensees. (Page 11)",Insurance
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,"Each Party, at its own expense, shall maintain comprehensive general liability, product liability and other appropriate insurance for the activities such Party undertakes pursuant to this Agreement, from reputable and financially secure insurance carriers in a form and at levels consistent with sound business practice and adequate in light of its obligations under this Agreement. (Page 40)

Each Party shall provide a certificate of insurance (or evidence of self-insurance) evidencing such coverage to the other Party upon reques (Page 40)

Each Party shall provide the other Party with prompt written notice of any cancellation, non-renewal or material change in such insurance that could materially adversely affect the rights of the other Party hereunder, and shall provide such notice within thirty (30) days after any such cancellation, non-renewal or material change. (Page 40)",Insurance
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,"Prior to first commercial sale of any LICENSED PRODUCT(S) or LICENSED SERVICE(S) as the case may be in any particular country, Company shall establish and maintain, in each country in which Company shall sell LICENSED PRODUCT(S) or LICENSED SERVICE(S), product liability or other appropriate insurance coverage appropriate to the risks involved in marketing LICENSED PRODUCT(S) and/or LICENSED SERVICE(S) and will annually present evidence to JHU that such coverage is being maintained (Page 9)

Upon JHU’s request, Company will furnish JHU with a Certificate of Insurance of each product liability insurance policy obtained. (Page 9)

JHU shall be listed as an additional insured in Company’s said insurance policies (Page 9)",Insurance
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,"With respect to Vendor’s performance under this Agreement, and in addition to Vendor’s obligation to indemnify, Vendor shall at its sole cost and expense: 

(i) maintain the insurance coverages and limits required by this Section and any additional insurance and/or bonds required by Laws: 

1. at all times during the term of this Agreement and until completion of all Work associated with this Agreement, whichever is later; and 

2. with respect to any coverage maintained in a “claims-made” policy, for two (2) years following the term of this Agreement or completion of all Work associated with this Agreement, whichever is later. If a “claims-made” policy is maintained, the retroactive date must precede the commencement of Work under this Agreement; 

(ii) require each Subcontractor who may perform Work under this Agreement or enter upon any Cell Site to maintain coverages, requirements, and limits at least as broad as those listed in this Section, when prorated for the value of the Work to be performed by such Subcontractor from the time when the Subcontractor begins Work, throughout the term of the Subcontractor’s Work and, with respect to any coverage maintained on a “claims made” policy, if any, for two (2) years thereafter; 

(iii) procure the required insurance from an insurance company eligible to do business in the state or states where Work will be performed and having and maintaining a Financial Strength Rating of “A-” or better and a Financial Size Category of “VII” or better, as rated in the A.M. Best Key Rating Guide for Property and Casualty Insurance Companies, except that, in the case of Workers’ Compensation insurance, Vendor may procure insurance from the state fund of the state where Work is to be performed; and  <omitted>

(iv) if requested, provide to AT&T or AT&T’s third party administrator certificates of insurance stating the types of insurance and policy limits. Vendor shall provide or have the issuing insurance company provide at least thirty (30) days’ advance written notice of cancellation, non-renewal, or reduction in insurance coverage, terms, or limits. (Pages 30-31)

The Parties agree that: 

(i) the failure of AT&T to request such certificate of insurance or failure of AT&T to identify a deficiency will not be construed as a waiver of Vendor’s obligation to maintain the insurance required under this Agreement; 

(ii) the insurance required under this Agreement does not represent that coverage and limits will necessarily be adequate to protect Vendor, nor shall it be deemed as a limitation on Vendor’s liability to AT&T in this Agreement; 

(iii) Vendor may meet the required insurance coverages and limits below with any combination of primary and Umbrella/Excess liability insurance; and 

(iv) Vendor is responsible for any deductible or self-insured retention. (Page 31)

Workers’ Compensation insurance with benefits afforded under the laws of any state in which the Work is to be performed and Employers Liability insurance with limits of at least: 

$500,000 for Bodily Injury – each accident $500,000 for Bodily Injury by disease – policy limits $500,000 for Bodily Injury by disease – each employee (Page 31)

To the fullest extent allowable by Law, the policy must include a waiver of subrogation in favor of AT&T, its Affiliates, and their directors, officers and employees. I (Page 31)

In states where Workers’ Compensation insurance is a monopolistic state-run system, Vendor shall add Stop Gap Employers Liability with limits not less than $500,000 each accident or disease. (Page 31)

Commercial General Liability insurance written on Insurance Services Office (ISO) Form CG 00 01 12 04 or a substitute form providing equivalent coverage, covering liability arising from premises, operations, personal injury, products/completed operations, and liability assumed under an insured contract (including the tort liability of another assumed in a business contract) with limits of at least: 

$2,000,000 General Aggregate limit $1,000,000 each occurrence limit for all bodily injury or property damage incurred in any one (1) occurrence $1,000,000 each occurrence limit for Personal Injury and Advertising Injury 

Proprietary and Confidential This Agreement and information contained therein is not for use or disclosure outside of AT&T, its Affiliates, and third party representatives, and Vendor except under written agreement by the contracting parties. 26 

Source: ATN INTERNATIONAL, INC., 10-Q, 11/8/2019


$1,000,000 each occurrence limit for Products/Completed Operations (Pages 31-32)

If applicable, Vendor will maintain Products/Completed Operations for at least two (2) years following completion of the Work. (Page 32)

The Commercial General Liability insurance policy must: 

1. include AT&T, its Affiliates, and their directors, officers, and employees as additional insureds. Vendor shall provide a copy of the additional insured endorsement to AT&T. The additional insured endorsement may either be specific to AT&T or may be “blanket” or “automatic” addressing any Person as required by contract. A copy of the additional insured endorsement must be provided within sixty (60) days of execution of this Agreement and within sixty (60) days of each Commercial General Liability policy renewal; 

2. include a waiver of subrogation in favor of AT&T, its Affiliates, and their directors, officers and employees; and 

3. be primary and non-contributory with respect to any insurance or self-insurance that is maintained by AT&T. (Page 32)

Property Insurance with limits sufficient to cover the full replacement cost of all of the Cell Sites against direct and indirect loss or damage by fire and all other casualties and risks covered under “all risk” insurance respecting the tower and other improvements located at the Cell Site(s). (Page 32)

Business Automobile Liability insurance if vehicles will be used in the performance of the Agreement with limits of at least $1,000,000 each accident for bodily injury and property damage, extending to all owned, hired, and non-owned vehicles. AT&T, its Affiliates and their directors, officers and employees shall be included as additional insureds on a primary and non-contributory basis. (Page 32)

Umbrella/Excess Liability insurance with limits of at least $10,000,000 each occurrence, claim or wrongful act with terms and conditions at least as broad as the underlying Commercial General Liability, Business Automobile Liability, and Employers Liability policies. Umbrella/Excess Liability limits will be primary and non-contributory with respect to any insurance or self-insurance that is maintained by AT&T. (Page 32)

Professional Liability (Errors & Omissions) insurance with limits of at least $5,000,000 each claim or wrongful act. (Page 32)

Explosion, Collapse, and Underground Damage Liability will have the same limit requirement as the Commercial General Liability policy. (Page 32)

To the extent that Vendor utilizes drones, Aircraft Liability insurance covering drones and similar devices, with limits of One Million and No/100 Dollars ($1,000,000.00) combined single limit for bodily injury and property damage and providing coverage on a worldwide basis and including commercial use and hired operations. (Page 33)

At all times and at Vendor’s expense, Vendor shall maintain property insurance for all perils, for full replacement cost for all property of AT&T in the care, custody and control of the Vendor. (Page 48)",Insurance
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,"At all times during the Term without cost to Owner, Operator shall maintain in force the following insurance, which insurance shall not be subject to cancellation, termination or other material adverse changes unless the insurer delivers to Owner <omitted> written notice of the cancellation, termination or change at least thirty (30) days in advance of the effective date of the cancellation, termination or material adverse change: 

(a) Worker’s Compensation Insurance as required by the laws of the state where Operator’s facilities are located; 

(b) Employer’s liability insurance with limits not less than One Million Dollars ($1,000,000); and 

(c) Commercial General Liability Insurance, including bodily injury and property damage liability including premises operations, contractual liability endorsements, products liability and completed operations with limits not less than Five Million Dollars ($5,000,000). (Pages 35-36)",Insurance
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,Customer specifically agrees to maintain insurance coverage for any finished Products or materials which passes to Customer pursuant to this Agreement and which is stored on the premises of Contractor. (Page 13),Insurance
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,"Each Party shall maintain (a) comprehensive general liability insurance (including without limitation, coverage for bodily injury, personal injury, property damage, casualty loss and contractual and trademark liability); and (b) product liability insurance, providing full indemnification and defense against claims, liabilities, damages, demands and causes of action, alleged or actual, arising out of any defects in or use of the Product under this Agreement (including manufacturing, design, warning, or instruction claims), in such amounts as it customarily maintains for similar products and activities, but in no event less than $5,000,000 per individual claim and $10,000,000 in the aggregate (Page 16)

At the time of entering this Agreement, each Party shall be fully insured and shall duly maintain such insurance during the term of this Agreement and thereafter for so long as it customarily maintains insurance for itself for similar products and activities. (Page 16)

Each Party shall cause such insurance policies to provide that the other Party shall be given at least thirty (30) days’ notice of any cancellation, termination or change in such insurance. (Page 16)",Insurance
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,"During the Term, Manufacturer shall self-insure or shall provide and maintain such insurance coverage, in minimum types and amounts as described below in this Section 11. (Page 69)

Any and all deductibles or retentions for such insurance policies shall be assumed by, for the account of, and at Manufacturer’s sole risk. (Page 69)

To the extent of the liabilities assumed by Manufacturer under this Agreement, such insurance policies of Manufacturer shall be primary and non-contributing with respect to any other similar insurance policies available to Customer or its Affiliates. (Page 69)

Manufacturer shall furnish to Customer certificates of insurance (electronic is acceptable), evidencing the required insurance coverage, upon execution of this Agreement and annually, thereafter. (Page 69)

The insurance required under this Section 11 shall be written for not less than any limits of liability specified herein or as required by applicable Law, whichever is greater. (Page 69)

All insurance carriers shall have a minimum of “A-” A.M. Best rating. (Page 69)

Manufacturer shall have the right to provide the total limits required by any combination of self-insurance, primary and umbrella/excess coverage; said insurance to include the following: (a) Insurance for liability under the workers’ compensation or occupational disease Laws of any state of the United States (or be a qualified self-insurer in those states of the United States) or otherwise applicable with respect to Persons performing the services and employer’s liability insurance covering all claims by or in respect to the employees of Manufacturer, providing: (i) Coverage for the statutory limits of all claims under the applicable State Workers’ Compensation Act or Acts. If a Facility Addendum will result in exposures under the U.S. Longshore and Harbor Workers’ Compensation Act and its amendments (work dockside or on water), the Jones Act (involving seamen, masters and crew of vessels) or the Federal Employers’ Liability Act (railroad exposure), coverage shall be extended to include insurance coverages mandated thereby; (ii) Employer’s liability insurance with a limit of not less than $1,000,000; (iii) Manufacturer warrants that all of its employees involved in this Agreement are covered by statutory workers’ compensation; and -65- 

Source: UPJOHN INC, 10-12G, 1/21/2020


(iv) Where allowed by Applicable Law, Customer and its Affiliates shall be provided a waiver of subrogation, except for losses due to the sole negligence of Manufacturer. (Pages 69-70)

Commercial general liability insurance with the following limits and forms/endorsements: 

Each Occurrence: $2,000,000 (i) Occurrence form including premises and operations coverage, property damage, liability, personal injury coverage, products and completed operations coverage, and transit. (ii) To the extent of Manufacturer’s indemnification obligations, Customer and its Affiliates shall be additional insureds via ISO form CG20101185 or its equivalent. (Page 70)

Automobile and Truck Liability Insurance: $2,000,000 combined single limit for bodily injury and property damage arising out of all owned, non- owned and hired vehicles, including coverage for all automotive and truck equipment used in the performance of this Agreement and including the loading and unloading of same. (Page 70)

Umbrella (excess) liability coverage in an amount not less than $3,000,000 per occurrence and in the aggregate. (Page 70)",Insurance
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,"Each party shall carry appropriate and commercially reasonable amounts of insurance adequate for the activities detailed in this Agreement, as well as sufficient levels of all legally mandated insurance, if any. (Page 6)",Insurance
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,"XSPA shall obtain, and thereafter maintain during the Term, the following insurance: (a) Special form property policy covering all stock on premises of the Store, including with respect to all Product Collateral; (b) Workers’ Compensation Insurance in the statutorily required amount (or XSPA shall participate in the appropriate state fund if such insurance is not available or allowed), together with Employer’s Liability Insurance with a limit of $1,000,000 for each accident; and (c) Commercial General Liability insurance, (including fire liability, contractual liability, personal injury, product liability and completed operations coverage) in the amount of not less than $3,000,000 combined single limit with umbrella liability coverage with a limit of not less than $10,000,000; (Page 12)

The foregoing insurance policies shall name XSPA as the insured and Calm as additional insured (except for Workers’ Compensation Insurance). (Page 12)

If any such insurance is on a “claims made” basis, XSPA shall maintain coverage thereunder for a period of at least two (2) years following the termination of this Agreement. (Page 12)

With respect to the foregoing, XSPA shall provide to Calm certificate(s) evidencing such insurance prior to or upon execution of this Agreement. (Page 12)

The certificates shall provide that Calm will be given at least thirty (30) days prior written notice of cancellation or any material change in these policies. (Page 12)

In no event shall any insurer have a Best’s Insurance rating of less than (A-) of class size VII. (Page 12)",Insurance
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,"The cost of storage, monitoring (including any on-going analytical analysis), and insurance before shipment shall be borne by [* * *]. (Page 22)

Customer and Supplier each represent that they are sufficiently insured against any liability arising under this Agreement. (Page 35)

Each of Customer and Supplier shall, upon request by the other, provide the other Party with a copy of all insurance policies maintained under this Article 15 relating to the Manufacture of the Product in bulk quantities and the facilities therefor and shall notify the other Party in writing at least 30 days prior to the cancellation of or any material change to such insurance policies. (Page 35)

Each Party may request that the other Party procure and maintain such additional insurance coverage relating to the Manufacture of the Product and the facilities therefore as may be reasonably necessary in respect of the Parties’ respective obligations under this Agreement. (Page 35)",Insurance
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,"Each Party agrees to obtain and maintain, during the Term and for five (5) years after the Term, commercial general liability insurance, including products liability insurance, with minimum “A-” AM Best rated insurance carriers, in each case with limits of not less than five million dollars ($5,000,000) per occurrence and in the aggregate (Page 49)

Pfizer and its Affiliates will be an additional insured on Exact’s commercial general liability and products liability policies, and be provided with a waiver of subrogation. (Page 49)",Insurance
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,"Each Party acknowledges and agrees that during the Term, it shall maintain, through purchase or self- insurance, adequate insurance, including products liability coverage and comprehensive general liability insurance, adequate to cover its obligations under this Agreement and which are consistent with normal business practices of prudent companies similarly situated. (Page 33)",Insurance
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,"MMT and SIGA shall each, at their sole cost and expense, procure and maintain (a) commercial general liability insurance in amounts not less than $[***] per incident and $[***] annual aggregate, and (c) product liability insurance in amounts not less than $[***] annual aggregate, and each naming the other Party as additional insured. (Page 35)

MMT and SIGA shall maintain such insurance throughout the Term, and shall from time to time provide copies of certificates of such insurance the other Party upon request. (Page 35)",Insurance
